Bloque,IPs Muestra,Resultado,zen.spamhaus.org,Total Listas
185.220.101.0/24,185.220.101.78,AUDITORIA,1,1
185.220.101.0/24,185.220.101.79,AUDITORIA,1,1
185.220.101.0/24,185.220.101.80,AUDITORIA,1,1
185.220.101.0/24,185.220.101.81,AUDITORIA,1,1
185.220.101.0/24,185.220.101.82,AUDITORIA,1,1
185.220.101.0/24,185.220.101.83,AUDITORIA,1,1
185.220.101.0/24,185.220.101.84,AUDITORIA,1,1
185.220.101.0/24,185.220.101.87,AUDITORIA,1,1
185.220.101.0/24,185.220.101.88,AUDITORIA,1,1
185.220.101.0/24,185.220.101.89,AUDITORIA,1,1
185.220.101.0/24,185.220.101.90,AUDITORIA,1,1
185.220.101.0/24,185.220.101.91,AUDITORIA,1,1
185.220.101.0/24,185.220.101.92,AUDITORIA,1,1
185.220.101.0/24,185.220.101.93,AUDITORIA,1,1
185.220.101.0/24,185.220.101.94,AUDITORIA,1,1
185.220.101.0/24,185.220.101.96,AUDITORIA,1,1
185.220.101.0/24,185.220.101.97,AUDITORIA,1,1
185.220.101.0/24,185.220.101.98,AUDITORIA,1,1
185.220.101.0/24,185.220.101.99,AUDITORIA,1,1
185.220.101.0/24,185.220.101.100,AUDITORIA,1,1
185.220.101.0/24,185.220.101.101,AUDITORIA,1,1
185.220.101.0/24,185.220.101.102,AUDITORIA,1,1
185.220.101.0/24,185.220.101.103,AUDITORIA,1,1
185.220.101.0/24,185.220.101.104,AUDITORIA,1,1
185.220.101.0/24,185.220.101.105,AUDITORIA,1,1
185.220.101.0/24,185.220.101.106,AUDITORIA,1,1
185.220.101.0/24,185.220.101.107,AUDITORIA,1,1
185.220.101.0/24,185.220.101.108,AUDITORIA,1,1
185.220.101.0/24,185.220.101.109,AUDITORIA,1,1
185.220.101.0/24,185.220.101.110,AUDITORIA,1,1
185.220.101.0/24,185.220.101.111,AUDITORIA,1,1
185.220.101.0/24,185.220.101.112,AUDITORIA,1,1
185.220.101.0/24,185.220.101.113,AUDITORIA,1,1
185.220.101.0/24,185.220.101.114,AUDITORIA,1,1
185.220.101.0/24,185.220.101.115,AUDITORIA,1,1
185.220.101.0/24,185.220.101.116,AUDITORIA,1,1
185.220.101.0/24,185.220.101.117,AUDITORIA,1,1
185.220.101.0/24,185.220.101.118,AUDITORIA,1,1
185.220.101.0/24,185.220.101.119,AUDITORIA,1,1
185.220.101.0/24,185.220.101.121,AUDITORIA,1,1
185.220.101.0/24,185.220.101.122,AUDITORIA,1,1
